,Program Name,Schedule Name,Schedule Type,Source,Start Time,Duration,End Time,New Start Time,New End Time
0,2023 - RWC Preview Show (1),2023 - RWC Preview Show (1).mp4,FILE,D:\RugbyWC\2023 - RWC Preview Show (1).mp4,09:30,12:20.0,42:20.0,2023-09-01 09:30:00,2023-09-01 09:42:20
1,2023 - RWC Preview Show (1),STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,42:20.0,00:05.0,42:25.0,2023-09-01 09:42:20,2023-09-01 09:42:25
2,2023 - RWC Preview Show (1),Promo-13 -60s.mp4,FILE,D:\Promos\Promo-13 -60s.mp4,42:25.0,01:00.0,43:25.0,2023-09-01 09:42:25,2023-09-01 09:43:25
3,2023 - RWC Preview Show (1),SCTE35,EVENT,SCTE35,42:25.0,00:00.0,42:25.0,2023-09-01 09:43:25,2023-09-01 09:43:25
4,2023 - RWC Preview Show (1),Promo-14 -30s.mp4,FILE,D:\Promos\Promo-14 -30s.mp4,43:25.0,00:30.0,43:55.1,2023-09-01 09:43:25,2023-09-01 09:43:55
5,2023 - RWC Preview Show (1),Promo-9 -15s.mp4,FILE,D:\Promos\Promo-9 -15s.mp4,43:55.1,00:15.0,44:10.1,2023-09-01 09:43:55,2023-09-01 09:44:10
6,2023 - RWC Preview Show (1),Promo-15 -15s.mp4,FILE,D:\Promos\Promo-15 -15s.mp4,44:10.1,00:15.0,44:25.1,2023-09-01 09:44:10,2023-09-01 09:44:25
7,2023 - RWC Preview Show (1),STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,44:25.1,00:05.0,44:30.1,2023-09-01 09:44:25,2023-09-01 09:44:30
8,2023 - RWC Preview Show (1),2023 - RWC Preview Show (1).mp4,FILE,D:\RugbyWC\2023 - RWC Preview Show (1).mp4,44:30.1,13:10.0,57:40.1,2023-09-01 09:44:30,2023-09-01 09:57:40
9,2023 - RWC Preview Show (1),STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,57:40.1,00:05.0,57:45.1,2023-09-01 09:57:40,2023-09-01 09:57:45
10,2023 - RWC Preview Show (1),Promo-17-60s.mp4,FILE,D:\Promos\Promo-17-60s.mp4,57:45.1,01:00.0,58:45.2,2023-09-01 09:57:45,2023-09-01 09:58:45
11,2023 - RWC Preview Show (1),SCTE35,EVENT,SCTE35,57:45.1,00:00.0,57:45.1,2023-09-01 09:58:45,2023-09-01 09:58:45
12,2023 - RWC Preview Show (1),Promo-8 -30s.mp4,FILE,D:\Promos\Promo-8 -30s.mp4,58:45.2,00:30.0,59:15.2,2023-09-01 09:58:45,2023-09-01 09:59:15
13,2023 - RWC Preview Show (1),Promo-1 -15s.mp4,FILE,D:\Promos\Promo-1 -15s.mp4,59:15.2,00:15.0,59:30.2,2023-09-01 09:59:15,2023-09-01 09:59:30
14,2023 - RWC Preview Show (1),Promo-3 -15s.mp4,FILE,D:\Promos\Promo-3 -15s.mp4,59:30.2,00:15.0,59:45.3,2023-09-01 09:59:30,2023-09-01 09:59:45
15,2023 - RWC Preview Show (1),STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,59:45.3,00:05.0,59:50.3,2023-09-01 09:59:45,2023-09-01 09:59:50
16,2023 - RWC Preview Show (1),2023 - RWC Preview Show (1).mp4,FILE,D:\RugbyWC\2023 - RWC Preview Show (1).mp4,59:50.3,15:03.0,14:53.3,2023-09-01 09:59:50,2023-09-01 10:14:53
17,2023 - RWC Preview Show (1),STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,14:53.3,00:05.0,14:58.3,2023-09-01 10:14:53,2023-09-01 10:14:58
18,2023 - RWC Preview Show (1),Promo-19 -30s.mp4,FILE,D:\Promos\Promo-19 -30s.mp4,14:58.3,00:30.0,15:28.3,2023-09-01 10:14:58,2023-09-01 10:15:28
19,2023 - RWC Preview Show (1),SCTE35,EVENT,SCTE35,14:58.3,00:00.0,14:58.3,2023-09-01 10:15:28,2023-09-01 10:15:28
20,2023 - RWC Preview Show (1),Promo-16 -30s.mp4,FILE,D:\Promos\Promo-16 -30s.mp4,15:28.3,00:30.0,15:58.3,2023-09-01 10:15:28,2023-09-01 10:15:58
21,2023 - RWC Preview Show (1),Promo-10 -30s.mp4,FILE,D:\Promos\Promo-10 -30s.mp4,15:58.3,00:30.0,16:28.4,2023-09-01 10:15:58,2023-09-01 10:16:28
22,2023 - RWC Preview Show (1),Promo-12 -30s.mp4,FILE,D:\Promos\Promo-12 -30s.mp4,16:28.4,00:30.0,16:58.4,2023-09-01 10:16:28,2023-09-01 10:16:58
23,2023 - RWC Preview Show (1),STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,16:58.4,00:05.0,17:03.4,2023-09-01 10:16:58,2023-09-01 10:17:03
24,2023 - RWC Preview Show (1),2023 - RWC Preview Show (1).mp4,FILE,D:\RugbyWC\2023 - RWC Preview Show (1).mp4,17:03.4,11:31.5,28:34.9,2023-09-01 10:17:03,2023-09-01 10:28:34
25,2023 - RWC Preview Show (1),STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,28:34.9,00:05.0,28:39.9,2023-09-01 10:28:34,2023-09-01 10:28:39
26,2023 - RWC Preview Show (1),Promo-5 -60s.mp4,FILE,D:\Promos\Promo-5 -60s.mp4,28:39.9,01:00.0,29:40.0,2023-09-01 10:28:39,2023-09-01 10:29:39
27,2023 - RWC Preview Show (1),SCTE35,EVENT,SCTE35,28:39.9,00:00.0,28:39.9,2023-09-01 10:29:39,2023-09-01 10:29:39
28,2023 - RWC Preview Show (1),Promo-3 -15s.mp4,FILE,D:\Promos\Promo-3 -15s.mp4,29:40.0,00:15.0,29:55.0,2023-09-01 10:29:39,2023-09-01 10:29:54
29,2023 - RWC Preview Show (1),STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,29:55.0,00:05.0,30:00.0,2023-09-01 10:29:54,2023-09-01 10:29:59
30,2 - RWC 2011 Classic Match,2 - RWC 2011 Classic Match.mp4,FILE,D:\RugbyWC\2 - RWC 2011 Classic Match.mp4,30:00.0,12:20.0,42:20.0,2023-09-01 10:29:59,2023-09-01 10:42:19
31,2 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,42:20.0,00:05.0,42:25.0,2023-09-01 10:42:19,2023-09-01 10:42:24
32,2 - RWC 2011 Classic Match,Promo-5 -60s.mp4,FILE,D:\Promos\Promo-5 -60s.mp4,42:25.0,01:00.0,43:25.0,2023-09-01 10:42:24,2023-09-01 10:43:24
33,2 - RWC 2011 Classic Match,SCTE35,EVENT,SCTE35,42:25.0,00:00.0,42:25.0,2023-09-01 10:43:24,2023-09-01 10:43:24
34,2 - RWC 2011 Classic Match,Promo-15 -15s.mp4,FILE,D:\Promos\Promo-15 -15s.mp4,43:25.0,00:15.0,43:40.1,2023-09-01 10:43:24,2023-09-01 10:43:39
35,2 - RWC 2011 Classic Match,Promo-1 -15s.mp4,FILE,D:\Promos\Promo-1 -15s.mp4,43:40.1,00:15.0,43:55.1,2023-09-01 10:43:39,2023-09-01 10:43:54
36,2 - RWC 2011 Classic Match,Promo-12 -30s.mp4,FILE,D:\Promos\Promo-12 -30s.mp4,43:55.1,00:30.0,44:25.1,2023-09-01 10:43:54,2023-09-01 10:44:24
37,2 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,44:25.1,00:05.0,44:30.1,2023-09-01 10:44:24,2023-09-01 10:44:29
